Pre-Process,CPU,0.049379,ms,CUDA,0.007872,ms
Total,CPU,4.497233,ms,CUDA,4.273856,ms
Post-Process,CPU,0.018337,ms,CUDA,0.017920,ms
Network,CPU,4.417965,ms,CUDA,4.247552,ms
Pre-Process,CPU,0.060931,ms,CUDA,0.008384,ms
Total,CPU,3.500501,ms,CUDA,3.293696,ms
Post-Process,CPU,0.021825,ms,CUDA,0.021920,ms
Network,CPU,3.429329,ms,CUDA,3.263584,ms
Pre-Process,CPU,0.049347,ms,CUDA,0.008192,ms
Total,CPU,5.781407,ms,CUDA,5.684576,ms
Post-Process,CPU,0.021633,ms,CUDA,0.021440,ms
Network,CPU,5.706747,ms,CUDA,5.654944,ms
Pre-Process,CPU,0.053027,ms,CUDA,0.008192,ms
Total,CPU,5.470829,ms,CUDA,5.344064,ms
Post-Process,CPU,0.018433,ms,CUDA,0.018432,ms
Network,CPU,5.399721,ms,CUDA,5.317056,ms
Pre-Process,CPU,0.052675,ms,CUDA,0.008576,ms
Total,CPU,3.702754,ms,CUDA,3.493792,ms
Post-Process,CPU,0.040546,ms,CUDA,0.040512,ms
Network,CPU,3.611645,ms,CUDA,3.444064,ms
Pre-Process,CPU,0.050563,ms,CUDA,0.009216,ms
Total,CPU,4.148093,ms,CUDA,0.008224,ms
Post-Process,CPU,0.018178,ms,CUDA,0.000000,ms
Network,CPU,4.070840,ms,CUDA,0.000000,ms
Pre-Process,CPU,0.059075,ms,CUDA,0.008224,ms
Total,CPU,4.894378,ms,CUDA,4.796448,ms
Post-Process,CPU,0.018145,ms,CUDA,0.018208,ms
Network,CPU,4.821766,ms,CUDA,4.770048,ms
Pre-Process,CPU,0.054467,ms,CUDA,0.008192,ms
Total,CPU,3.483637,ms,CUDA,3.275712,ms
Post-Process,CPU,0.019681,ms,CUDA,0.019840,ms
Network,CPU,3.409552,ms,CUDA,3.248128,ms
Pre-Process,CPU,0.054404,ms,CUDA,0.007744,ms
Total,CPU,4.290150,ms,CUDA,3.287904,ms
Post-Process,CPU,0.020065,ms,CUDA,0.019648,ms
Network,CPU,4.220450,ms,CUDA,3.260896,ms
Pre-Process,CPU,0.049635,ms,CUDA,0.007360,ms
Total,CPU,3.360653,ms,CUDA,3.254592,ms
Post-Process,CPU,0.018497,ms,CUDA,0.018560,ms
Network,CPU,3.291337,ms,CUDA,3.227648,ms
Pre-Process,CPU,0.050819,ms,CUDA,0.008384,ms
Total,CPU,4.980591,ms,CUDA,5.169824,ms
Post-Process,CPU,0.017793,ms,CUDA,0.001024,ms
Network,CPU,4.906699,ms,CUDA,5.159936,ms
Pre-Process,CPU,0.056099,ms,CUDA,0.008864,ms
Total,CPU,3.466643,ms,CUDA,3.268608,ms
Post-Process,CPU,0.019969,ms,CUDA,0.020000,ms
Network,CPU,3.394511,ms,CUDA,3.240960,ms
Pre-Process,CPU,0.052163,ms,CUDA,0.007648,ms
Total,CPU,4.992112,ms,CUDA,5.149696,ms
Post-Process,CPU,0.017985,ms,CUDA,0.001024,ms
Network,CPU,4.923020,ms,CUDA,5.140480,ms
Pre-Process,CPU,0.051107,ms,CUDA,0.008192,ms
Total,CPU,3.470675,ms,CUDA,3.278176,ms
Post-Process,CPU,0.019041,ms,CUDA,0.019104,ms
Network,CPU,3.379662,ms,CUDA,3.250880,ms
Pre-Process,CPU,0.071972,ms,CUDA,0.008192,ms
Total,CPU,4.847815,ms,CUDA,4.946400,ms
Post-Process,CPU,0.017825,ms,CUDA,0.001024,ms
Network,CPU,4.757762,ms,CUDA,4.936704,ms
Pre-Process,CPU,0.072228,ms,CUDA,0.008672,ms
Total,CPU,3.436178,ms,CUDA,3.251488,ms
Post-Process,CPU,0.044483,ms,CUDA,0.017952,ms
Network,CPU,3.339404,ms,CUDA,3.226048,ms
Pre-Process,CPU,0.052291,ms,CUDA,0.007488,ms
Total,CPU,4.974830,ms,CUDA,5.057760,ms
Post-Process,CPU,0.017825,ms,CUDA,0.001024,ms
Network,CPU,4.880713,ms,CUDA,5.048320,ms
Pre-Process,CPU,0.076292,ms,CUDA,0.008416,ms
Total,CPU,3.400495,ms,CUDA,3.294912,ms
Post-Process,CPU,0.020065,ms,CUDA,0.020160,ms
Network,CPU,3.332555,ms,CUDA,3.266464,ms
Pre-Process,CPU,0.047875,ms,CUDA,0.008288,ms
Total,CPU,4.862759,ms,CUDA,4.764000,ms
Post-Process,CPU,0.018529,ms,CUDA,0.018560,ms
Network,CPU,4.740416,ms,CUDA,4.737248,ms
Pre-Process,CPU,0.103814,ms,CUDA,0.008192,ms
Total,CPU,3.494677,ms,CUDA,3.298464,ms
Post-Process,CPU,0.018881,ms,CUDA,0.019104,ms
Network,CPU,3.427185,ms,CUDA,3.270656,ms
Pre-Process,CPU,0.048611,ms,CUDA,0.008704,ms
Total,CPU,5.386920,ms,CUDA,5.276800,ms
Post-Process,CPU,0.019009,ms,CUDA,0.018880,ms
Network,CPU,5.317732,ms,CUDA,5.249376,ms
Pre-Process,CPU,0.050179,ms,CUDA,0.008544,ms
Total,CPU,3.448979,ms,CUDA,3.258016,ms
Post-Process,CPU,0.018370,ms,CUDA,0.018720,ms
Network,CPU,3.381806,ms,CUDA,3.231040,ms
